ticker,avg_volume,mu,volatility,Sharpe,beta,residual_alpha,beta_stability,avg_vol2,vol_of_vol,residual_momentum,mcap_cad,cap_bucket,LiquidityScore,Score,sector,capm_expected_return,mc_avg_return,mc_avg_return (%),avg_abs_cov,div_score,TotalScore,weight,Price_CAD,Value_CAD,Shares,Currency,Fee_CAD,TotalCost_CAD
TD.TO,7545756.4,0.002250838904215949,0.009628567910017148,3.5641308899219246,0.4989322273600426,0.0018053921579493466,0.15907502283454905,7545756.4,5172778.109031954,0.0014048232312490088,220327116800.0,Large,1.458743209588188,3.4005045966982803,Financial Services,0.0005055926490306802,0.7442941447008505,74.42941447008505,4.8888069366239705e-05,0.9999511143205602,0.7853790198772228,0.10992998036782331,130.41000366210938,109927.1152535801,842.9346842010666,CAD,2.15,109929.26525358009
CAT,2586073.493975904,0.00242189906980265,0.020437224137333534,1.812035333623663,1.411049416387396,0.0010331744338967952,0.2672455157351301,2586073.493975904,1076932.0118959278,0.00012781932095062628,414293481113.72266,Large,2.4013318056089226,2.5526671938950924,Industrials,0.0012671065599392719,0.7453316240396626,74.53316240396626,0.0001294641511575509,0.9998705526076392,0.7397538677863912,0.11346620031940106,859.3155395507813,113463.24304036243,132.03909136762132,USD,1.7825277334628882,113465.0255680959
BK,3981635.7429718873,0.0021278373003738712,0.014967076506597588,2.1624053549647524,1.1279519284152597,0.0010410816859964592,0.14895296204670605,3981635.7429718873,1592189.4066032297,0.0007073601885698617,120446586404.0127,Large,2.5007283842805506,2.8676370917751,Financial Services,0.0010307524183580255,0.6609138428060789,66.09138428060788,0.00010487983134596056,0.9998951311672796,0.7353699893383384,0.10293018586578423,165.95550041198732,102927.50318776869,620.2114598928595,USD,2.9025,102930.40568776868
C,14853745.381526105,0.002146544408509717,0.019908138992577106,1.640628113630903,1.5303371019160696,0.0006523625701669145,0.15318320253356998,14853745.381526105,6779015.332519692,0.0008033259158865477,297446310349.9863,Large,2.1911358009673236,2.3198744629753234,Financial Services,0.0013666981837163021,0.640965837975242,64.0965837975242,0.00014909671280686652,0.999850925513709,0.6891723626418172,0.09646387588390755,157.00500411987306,96461.36173786817,614.3839954567312,USD,2.9025,96464.26423786816
SHOP.TO,2102246.4,0.00251759469083271,0.03707674645445294,1.039791697856087,2.734294491450249,0.00018239715522594017,0.994507092641923,2102246.4,1001871.2856545589,-0.0032305306577768136,302574338048.0,Large,2.0983177497783836,1.8127952563644218,Technology,0.0023718654048813194,0.5995829973410451,59.958299734104514,0.00024275233275157916,0.999757306581642,0.6776315939870183,0.10393765485290855,232.4199981689453,103934.94591714481,447.18589938889363,CAD,2.15,103937.0959171448
RY.TO,4253649.2,0.0014518506108696925,0.01039608289106354,2.080969399014979,0.7118897448757616,0.0008184691082824438,0.019580502873032035,4253649.2,2376129.775813056,0.00046790655502771517,329554493440.0,Large,1.7901578664349824,2.452635260021881,Financial Services,0.0006833879082053396,0.4246413889232902,42.46413889232902,6.654380098526644e-05,0.9999334606267976,0.6266533806728743,0.08771305585113333,234.55999755859375,87710.76977844602,373.9374603145433,CAD,2.15,87712.91977844601
PM,5737421.285140562,0.0016245769675946704,0.016715425187220113,1.4582863433905502,0.1503740828512589,0.0015085796858348302,0.5227959052682651,5737421.285140562,2284340.4653602354,0.005155379328687295,358676130862.4785,Large,2.5116303197848677,2.3488348979485068,Consumer Defensive,0.00021458631892635208,0.4519588460498211,45.19588460498211,4.3626978736617975e-05,0.9999563749244935,0.5912476165944994,0.09068775902940142,223.89750823974612,90685.39542677718,405.0308381711538,USD,2.9025,90688.29792677717
BA,9557989.959839357,0.0018089968453836884,0.023929456711473587,1.1409975330563265,1.5058802952529058,0.00043640910781148545,0.6440158961261482,9557989.959839357,6530851.742457125,0.008472790311962505,266052969654.97852,Large,1.463513316982756,1.5876022887465695,Industrials,0.0013462795371712662,0.47025489172160717,47.02548917216072,0.000142325618209061,0.9998576946354898,0.5843858123579857,0.08963526996789428,330.1425041198731,89632.9337963802,271.4977098611784,USD,2.9025,89635.83629638019
LLY,3976943.373493976,0.0018291365335406273,0.02534050551058205,1.0900792291498749,0.8405501802232718,0.0011373238824087827,0.35030683049639,3976943.373493976,2560657.255512328,0.0028609122321701756,1341593062056.0781,Large,1.553094156525109,1.5880982354284272,Healthcare,0.0007908047099927975,0.462538621901836,46.2538621901836,0.0001176402469995992,0.9998823735906003,0.5403088224375613,0.0828745772759417,1454.2064208984375,82872.41730892488,56.988070000216794,USD,0.7693389450029268,82873.18664786988
ABBV,6362559.036144578,0.00119710427004362,0.016881785704830825,1.0419488721217443,0.45671523506092443,0.0005783658527494494,0.598625836019225,6362559.036144578,3249165.4261828978,-0.001449685164987747,542039520230.96094,Large,1.9582127233843407,1.7532097056218001,Healthcare,0.0004703462713730224,0.29880638287344163,29.880638287344162,8.10596713337678e-05,0.9999189468988039,0.5014019414825112,0.076906895131259,298.01250000000005,76904.89070043946,258.0592783874483,USD,2.9025,76907.79320043945
BIIB,1555065.4618473896,0.001089863743166767,0.020536566741245668,0.7736233221076193,0.7208956741443809,0.0001777359578915717,0.2727733745644377,1555065.4618473896,602689.0234973934,-0.0007924181359904795,36340202626.08887,Large,2.580207737342968,1.862341143756772,Healthcare,0.0006909068328580213,0.25355842066761203,25.355842066761202,0.00011118094111090882,0.9998888314187165,0.5010015669243134,0.045454545454545456,240.70500411987305,45453.36076893772,188.8342992084268,USD,2.5492630393137623,45455.91003197703
